bytes,channel,date,error,file,kind,ok,relevance,score,sha256,source,source_page,title,url,year
9263599,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\monographs\fao_climate_smart_agriculture_sourcebook.pdf,open_monograph,True,适合江苏句容做气候风险、节水灌溉、绿色生产和政策决策支撑。,,6960a6c5f2d08a11117b11f0f9e3256ca24a7b2f9b27c315e49ad44200141d1d,FAO,,Climate-Smart Agriculture Sourcebook,https://www.fao.org/4/i3325e/i3325e.pdf,
12781996,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\monographs\fao_save_and_grow_maize_rice_wheat.pdf,open_monograph,True,适合支撑江苏句容水稻、粮食安全、绿色高产和节本增效问答。,,e4331d6c16c1273e2380b644c39b31285dc5adf6351a58d9d83bae0a9297c403,FAO,,"Save and Grow in practice: maize, rice, wheat",https://www.fao.org/3/a-i4009e.pdf,
6461207,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\monographs\fao_greenhouse_vegetable_gap.pdf,open_monograph,True,适合支撑草莓、设施蔬菜、棚室水肥管理和质量安全。,,255ba0b474c1559f441f8c2eaf1395015792845511ca6506dd038ce8a08c8a6a,FAO,,Good Agricultural Practices for greenhouse vegetable crops,https://www.fao.org/3/i3284e/i3284e.pdf,
58759333,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\monographs\fao_small_scale_aquaponic_food_production.pdf,open_monograph,True,适合支撑鱼菜共生、水产和设施农业融合场景。,,0ca44ba739e100d356942b9d110b133e689e167fd8c9010068ae9b038f19f368,FAO,,Small-scale aquaponic food production,https://www.fao.org/3/i4021e/i4021e.pdf,
14174752,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\monographs\fao_land_water_resources_solaw.pdf,open_monograph,True,适合支撑耕地、水资源、土壤退化、高标准农田和生态农业判断。,,bcebf5c1dad25e7b62b96775a5c615d3ab0dee728b67c43515fb71b8469e1af5,FAO,,The State of the World's Land and Water Resources for Food and Agriculture,https://www.fao.org/4/i1688e/i1688e.pdf,
7593176,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\monographs\fao_future_food_agriculture_trends.pdf,open_monograph,True,适合支撑农业产业趋势、经营风险、市场与政策研判。,,f4f29f7c32ab89495d64a5171fb4ec7ca6d53910370ac2cdfc8bd6b9361869f9,FAO,,The future of food and agriculture: trends and challenges,https://www.fao.org/3/i6583e/i6583e.pdf,
15978,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\historical_data\jurong_statistics_2024.md,jurong_historical_statistics,True,,,8036ce7afcecc14f0fe319734b13526e8ee4f7b4f027361740043425f20486dc,句容市统计局,data\raw\public_agriculture_sources\jurong_local_agri_support\source_pages\statistics_2024.html,2024年句容市国民经济和社会发展统计公报,https://www.jurong.gov.cn/jrtjj/tjgb/202505/04d8519a144f4e51910ecfdda01b216b.shtml,2024
14432,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\historical_data\jurong_statistics_2023.md,jurong_historical_statistics,True,,,b81d9e612486ffbc0aab635ca09fb2273b81ed4afe03aa586ea20112f87d8791,句容市统计局,data\raw\public_agriculture_sources\jurong_local_agri_support\source_pages\statistics_2023.html,2023年句容市国民经济和社会发展统计公报,https://www.jurong.gov.cn/jrtjj/tjgb/202405/da2d9c66c31644dbbfbfb5f34c91b386.shtml,2023
13605,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\historical_data\jurong_statistics_2022.md,jurong_historical_statistics,True,,,f7c8247c04e5c544f15316256bb000ec05727a1cf0496e603dff9b74ead850d5,句容市统计局,data\raw\public_agriculture_sources\jurong_local_agri_support\source_pages\statistics_2022.html,2022年句容市国民经济和社会发展统计公报,https://www.jurong.gov.cn/jrtjj/tjgb/202605/9ca24b01593f42e9a24b2a11edf04e94.shtml,2022
14884,,,,data\raw\public_agriculture_sources\jurong_local_agri_support\historical_data\jurong_statistics_2021.md,jurong_historical_statistics,True,,,17736d7276bc0e0d4a23b55ab0243334b99deb2cd393403e73edee93541af75d,句容市统计局,data\raw\public_agriculture_sources\jurong_local_agri_support\source_pages\statistics_2021.html,2021年句容市国民经济和社会发展统计公报,https://www.jurong.gov.cn/jrtjj/tjgb/202206/b814dd173d984a3185fcaf6a0b00263a.shtml,2021
